seed,time,task_id,task_node_id,source_node_id,target_node_id,target_node_type,candidate_count,nearest_distance
1,1.7,Task_2,UAV_1,UAV_1,UAV_0,uav,5,0.0
1,3.3,Task_3,UAV_1,UAV_1,vehicle_1,vehicle,5,0.0
1,4.0,Task_1,UAV_0,UAV_0,RSU_2,rsu,5,0.0
1,4.4,Task_11,UAV_1,UAV_1,vehicle_3,vehicle,5,0.0
1,4.7,Task_15,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,5.3,Task_16,vehicle_0,vehicle_0,RSU_1,rsu,6,0.0
1,5.6,Task_12,UAV_1,UAV_1,vehicle_3,vehicle,6,0.0
1,5.8,Task_13,UAV_1,UAV_1,vehicle_3,vehicle,6,0.0
1,7.4,Task_9,UAV_0,UAV_0,vehicle_1,vehicle,7,0.0
1,8.2,Task_14,UAV_1,UAV_1,vehicle_2,vehicle,7,0.0
1,8.2,Task_10,UAV_0,UAV_0,vehicle_1,vehicle,6,0.0
1,8.2,Task_17,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,8.3,Task_21,UAV_0,UAV_0,vehicle_1,vehicle,6,0.0
1,8.8,Task_31,vehicle_4,vehicle_4,vehicle_1,vehicle,5,0.0
1,9.1,Task_32,vehicle_4,vehicle_4,vehicle_1,vehicle,5,0.0
1,9.6,Task_22,UAV_0,UAV_0,vehicle_1,vehicle,6,0.0
1,9.6,Task_26,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,9.7,Task_27,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,10.6,Task_33,vehicle_4,vehicle_4,vehicle_1,vehicle,5,0.0
1,10.8,Task_28,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,10.9,Task_34,vehicle_4,vehicle_4,vehicle_1,vehicle,5,0.0
1,11.1,Task_24,UAV_1,UAV_1,UAV_0,uav,7,0.0
1,11.1,Task_29,vehicle_0,vehicle_0,RSU_1,rsu,5,0.0
1,12.0,Task_38,vehicle_6,vehicle_6,vehicle_5,vehicle,7,0.0
1,12.1,Task_36,vehicle_5,vehicle_5,vehicle_6,vehicle,6,0.0
