seed,time,task_id,task_node_id,assigned_to,assigned_node_type,allocated_cpu,num_tasks_on_node
1,1.7,Task_2,UAV_1,UAV_0,uav,3.0,1
1,3.3,Task_3,UAV_1,vehicle_1,vehicle,2.0,1
1,3.4,Task_3,UAV_1,vehicle_1,vehicle,2.0,1
1,4.0,Task_1,UAV_0,RSU_2,rsu,10.0,1
1,4.4,Task_11,UAV_1,vehicle_3,vehicle,2.0,1
1,4.5,Task_11,UAV_1,vehicle_3,vehicle,2.0,1
1,4.6,Task_11,UAV_1,vehicle_3,vehicle,2.0,1
1,4.7,Task_15,vehicle_0,RSU_1,rsu,10.0,1
1,5.3,Task_16,vehicle_0,RSU_1,rsu,10.0,1
1,5.6,Task_12,UAV_1,vehicle_3,vehicle,2.0,1
1,5.7,Task_12,UAV_1,vehicle_3,vehicle,2.0,1
1,5.8,Task_12,UAV_1,vehicle_3,vehicle,1.0,2
1,5.8,Task_13,UAV_1,vehicle_3,vehicle,1.0,2
1,5.9,Task_13,UAV_1,vehicle_3,vehicle,2.0,1
1,6.0,Task_13,UAV_1,vehicle_3,vehicle,2.0,1
1,7.2,Task_5,UAV_1,UAV_1,uav,3.0,1
1,7.4,Task_9,UAV_0,vehicle_1,vehicle,2.0,1
1,7.5,Task_9,UAV_0,vehicle_1,vehicle,2.0,1
1,8.2,Task_10,UAV_0,vehicle_1,vehicle,2.0,1
1,8.2,Task_17,vehicle_0,RSU_1,rsu,2.0,1
1,8.2,Task_14,UAV_1,vehicle_2,vehicle,2.0,1
1,8.3,Task_10,UAV_0,vehicle_1,vehicle,1.0,2
1,8.3,Task_21,UAV_0,vehicle_1,vehicle,1.0,2
1,8.3,Task_17,vehicle_0,RSU_1,rsu,2.0,1
1,8.3,Task_14,UAV_1,vehicle_2,vehicle,2.0,1
1,8.4,Task_10,UAV_0,vehicle_1,vehicle,5.0,2
1,8.4,Task_21,UAV_0,vehicle_1,vehicle,5.0,2
1,8.4,Task_17,vehicle_0,RSU_1,rsu,10.0,1
1,8.5,Task_21,UAV_0,vehicle_1,vehicle,2.0,1
1,8.8,Task_31,vehicle_4,vehicle_1,vehicle,2.0,1
1,8.9,Task_31,vehicle_4,vehicle_1,vehicle,2.0,1
1,9.0,Task_31,vehicle_4,vehicle_1,vehicle,2.0,1
1,9.1,Task_31,vehicle_4,vehicle_1,vehicle,1.0,2
1,9.1,Task_32,vehicle_4,vehicle_1,vehicle,1.0,2
1,9.2,Task_32,vehicle_4,vehicle_1,vehicle,2.0,1
1,9.3,Task_32,vehicle_4,vehicle_1,vehicle,2.0,1
1,9.4,Task_32,vehicle_4,vehicle_1,vehicle,2.0,1
1,9.6,Task_22,UAV_0,vehicle_1,vehicle,10.0,1
1,9.6,Task_26,vehicle_0,RSU_1,rsu,10.0,1
1,9.7,Task_27,vehicle_0,RSU_1,rsu,10.0,1
1,10.6,Task_33,vehicle_4,vehicle_1,vehicle,2.0,1
1,10.7,Task_33,vehicle_4,vehicle_1,vehicle,2.0,1
1,10.8,Task_33,vehicle_4,vehicle_1,vehicle,10.0,1
1,10.8,Task_28,vehicle_0,RSU_1,rsu,10.0,1
1,10.9,Task_34,vehicle_4,vehicle_1,vehicle,2.0,1
1,11.0,Task_34,vehicle_4,vehicle_1,vehicle,2.0,1
1,11.1,Task_24,UAV_1,UAV_0,uav,10.0,1
1,11.1,Task_34,vehicle_4,vehicle_1,vehicle,10.0,1
1,11.1,Task_29,vehicle_0,RSU_1,rsu,10.0,1
1,12.0,Task_38,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.1,Task_38,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.1,Task_36,vehicle_5,vehicle_6,vehicle,2.0,1
1,12.2,Task_25,UAV_1,UAV_0,uav,2.0,1
1,12.2,Task_35,vehicle_4,vehicle_1,vehicle,2.0,1
1,12.2,Task_30,vehicle_0,RSU_1,rsu,2.0,1
1,12.2,Task_23,UAV_0,UAV_1,uav,2.0,1
1,12.2,Task_38,vehicle_6,vehicle_5,vehicle,1.0,2
1,12.2,Task_39,vehicle_6,vehicle_5,vehicle,1.0,2
1,12.2,Task_36,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.2,Task_37,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.3,Task_25,UAV_1,UAV_0,uav,2.0,1
1,12.3,Task_35,vehicle_4,vehicle_1,vehicle,2.0,1
1,12.3,Task_30,vehicle_0,RSU_1,rsu,2.0,1
1,12.3,Task_23,UAV_0,UAV_1,uav,2.0,1
1,12.3,Task_39,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.3,Task_36,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.3,Task_37,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.4,Task_25,UAV_1,UAV_0,uav,2.0,1
1,12.4,Task_35,vehicle_4,vehicle_1,vehicle,2.0,1
1,12.4,Task_30,vehicle_0,RSU_1,rsu,2.0,1
1,12.4,Task_23,UAV_0,UAV_1,uav,2.0,1
1,12.4,Task_39,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.4,Task_36,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.4,Task_37,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.5,Task_23,UAV_0,UAV_1,uav,2.0,1
1,12.5,Task_39,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.5,Task_36,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.5,Task_37,vehicle_5,vehicle_6,vehicle,1.0,2
1,12.7,Task_53,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.8,Task_53,vehicle_6,vehicle_5,vehicle,2.0,1
1,12.9,Task_53,vehicle_6,vehicle_5,vehicle,2.0,1
1,13.4,Task_46,vehicle_0,RSU_1,rsu,10.0,1
1,13.5,Task_49,vehicle_4,vehicle_1,vehicle,2.0,1
1,13.6,Task_49,vehicle_4,vehicle_1,vehicle,3.0,1
1,13.6,Task_40,UAV_0,UAV_1,uav,3.0,1
1,13.7,Task_49,vehicle_4,vehicle_1,vehicle,3.0,1
1,13.7,Task_40,UAV_0,UAV_1,uav,3.0,1
1,13.9,Task_43,UAV_1,vehicle_11,vehicle,2.0,1
1,14.0,Task_43,UAV_1,vehicle_11,vehicle,2.0,1
1,14.1,Task_43,UAV_1,vehicle_11,vehicle,2.0,1
1,14.3,Task_50,vehicle_4,vehicle_1,vehicle,10.0,1
1,14.3,Task_47,vehicle_0,RSU_1,rsu,10.0,1
1,14.8,Task_41,UAV_0,UAV_1,uav,3.0,1
1,14.9,Task_41,UAV_0,UAV_1,uav,3.0,1
1,15.0,Task_41,UAV_0,UAV_1,uav,3.0,1
1,16.1,Task_44,UAV_1,vehicle_11,vehicle,2.0,1
1,16.2,Task_55,vehicle_9,UAV_0,uav,2.0,1
1,16.2,Task_51,vehicle_4,vehicle_1,vehicle,2.0,1
1,16.2,Task_48,vehicle_0,RSU_1,rsu,2.0,1
1,16.2,Task_42,UAV_0,UAV_1,uav,2.0,1
1,16.2,Task_52,vehicle_5,vehicle_2,vehicle,2.0,1
1,16.2,Task_44,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.2,Task_45,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.2,Task_54,vehicle_6,vehicle_11,vehicle,0.6666666666666666,3
1,16.3,Task_55,vehicle_9,UAV_0,uav,2.0,1
1,16.3,Task_51,vehicle_4,vehicle_1,vehicle,2.0,1
1,16.3,Task_78,vehicle_15,RSU_2,rsu,2.0,1
1,16.3,Task_48,vehicle_0,RSU_1,rsu,2.0,1
1,16.3,Task_42,UAV_0,UAV_1,uav,2.0,1
1,16.3,Task_52,vehicle_5,vehicle_2,vehicle,2.0,1
1,16.3,Task_44,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.3,Task_45,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.3,Task_54,vehicle_6,vehicle_11,vehicle,0.6666666666666666,3
1,16.4,Task_55,vehicle_9,UAV_0,uav,2.0,1
1,16.4,Task_51,vehicle_4,vehicle_1,vehicle,2.0,1
1,16.4,Task_78,vehicle_15,RSU_2,rsu,2.0,1
1,16.4,Task_48,vehicle_0,RSU_1,rsu,2.0,1
1,16.4,Task_42,UAV_0,UAV_1,uav,2.0,1
1,16.4,Task_52,vehicle_5,vehicle_2,vehicle,2.0,1
1,16.4,Task_44,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.4,Task_45,UAV_1,vehicle_11,vehicle,0.6666666666666666,3
1,16.4,Task_54,vehicle_6,vehicle_11,vehicle,0.6666666666666666,3
1,16.5,Task_55,vehicle_9,UAV_0,uav,2.0,1
1,16.5,Task_51,vehicle_4,vehicle_1,vehicle,2.0,1
1,16.5,Task_78,vehicle_15,RSU_2,rsu,2.0,1
1,16.5,Task_48,vehicle_0,RSU_1,rsu,2.0,1
