seed,time,task_id,task_node_id,current_node_id,return_target_id,return_distance
0,12.7,Task_9,UAV_0,UAV_0,RSU_3,140.6515870789642
0,16.5,Task_34,UAV_1,UAV_1,RSU_3,326.4052924027659
