seed,time,task_id,task_node_id,current_node_id,return_target_id,return_distance
2,8.5,Task_12,UAV_1,UAV_1,RSU_2,126.56911664951151
2,10.4,Task_9,UAV_0,UAV_0,RSU_3,139.75447044324272
