seed,time,offload_decision_count,offload_to_vehicle_count,offload_to_uav_count,offload_to_rsu_count,offload_to_cloud_count,offload_to_unknown_count,active_link_count,allocated_rb_total,allocated_rb_mean_per_active_link,cpu_progress_total,computing_task_count,uav_mean_speed,uav_mean_displacement
0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.541187986610474,1.9541187986610642
0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.708402095112856,2.470840209511322
0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.600500152924422,1.7600500152924596
0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44537351812956,1.2445373518129728
0,4.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,50.0,0.3,1.0,16.694814041857263,1.6694814041857549
0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855309808754933,0.0,18.182528414938822,1.8182528414938663
0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.102030226579384,2.6102030226579105
0,4.7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.5933408929988586,0.0,12.403328655561939,1.2403328655562063
0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.946943443306104,1.894694344330615
0,4.9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.6048641144501542,0.0,22.192444968922107,2.219244496892211
0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.518090993785943,1.751809099378613
0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.069574119327838,1.3069574119327922
0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.168638881561693,1.516863888156182
0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.493334013077451,1.2493334013077102
0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.63855719721677,2.163855719721675
