seed,time,offload_decision_count,return_route_count,rb_task_count,rb_total,rb_mean_per_task,cpu_task_count,cpu_total_alloc,cpu_mean_alloc,uav_command_count,uav_speed_mean,uav_angle_sin_mean,uav_angle_cos_mean,uav_phi_mean
0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.80671044857253,-0.6589461609608387,-0.7520365271690177,0.0
0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.953011832609636,-0.05595924462970642,-0.1719265987326495,0.0
0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.339211225187448,-0.16289395098277612,0.09038043289769138,0.0
0,0.4,1.0,0.0,1.0,50.0,50.0,1.0,10.0,10.0,2,20.84437507394704,-0.2867504937132796,0.9544950969287326,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.575612273954434,0.36084999604870466,0.07037069223604903,0.0
0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.05335937262482,-0.38064259687469515,0.22020345465688462,0.0
0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.14272155384962,0.13134242638399418,0.9432978103377945,0.0
0,0.8,1.0,0.0,1.0,50.0,50.0,1.0,10.0,10.0,2,28.21255561178056,-0.07071130108652668,0.2858606881115667,0.0
0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19.318959751826792,-0.12525096125950128,0.9567836885434451,-0.0386660985920256
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19.809175211665334,0.06430473528032182,0.032489386500330175,-0.0386660985920256
0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.165915423806396,-0.15477032403045715,-0.03719732172725149,-0.0386660985920256
0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.881131977333713,-0.036121821856352515,0.9361974503475432,-0.0386660985920256
0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18.48623513999366,-0.10924075403472469,0.9543380493317366,-0.03866609859202555
0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.150435085784046,-0.6036613125162645,0.7462129788119152,-0.03866609859202555
0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.129643443326525,-0.1387551572954276,-0.035718272056989464,-0.03866609859202555
0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19.497816038665352,0.29427488348510283,0.5745791698142692,-0.03866609859202555
0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.113231002408273,-0.34643647214147366,-0.014431500491299154,-0.03866609859202555
0,1.8,1.0,0.0,1.0,50.0,50.0,1.0,10.0,10.0,2,18.677549911516397,-0.4931507331818047,0.86104893235384,-0.03866609859202555
0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15.306118689262199,0.12557758808871938,0.07577457515576852,-0.03866609859202555
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15.430152122945797,0.29558420710793515,0.35392648702891594,-0.0386660985920256
