schedule_ms,env_step_ms,schedule_plus_step_ms
0.6013000092934817,9.706699987873435,10.307999997166917
0.04269997589290142,2.635500015458092,2.6781999913509935
0.03239998477511108,1.7493999912403524,1.7817999760154635
0.8025999995879829,2.5388000067323446,3.3414000063203275
0.09980000322684646,3.123599977698177,3.2233999809250236
0.1810000103432685,3.723000001627952,3.9040000119712204
0.15700000221841037,3.1799999997019768,3.337000001920387
0.7328999927267432,2.3271000245586038,3.060000017285347
0.38720000884495676,2.671800000825897,3.0590000096708536
0.13909998233430088,2.731200016569346,2.870299998903647
0.391999987186864,3.1256000220309943,3.5176000092178583
0.1556000206619501,2.2575999901164323,2.4132000107783824
0.042100000428035855,1.9005999783985317,1.9426999788265675
0.03480000304989517,2.949699992313981,2.9844999953638762
0.07670000195503235,2.821300004143268,2.8980000060983
0.03860000288113952,3.679699992062524,3.7182999949436635
0.40589997661300004,5.668199999490753,6.074099976103753
0.7207999879028648,3.480900020804256,4.201700008707121
0.13770000077784061,2.7381000109016895,2.87580001167953
0.19219997921027243,2.938200021162629,3.1304000003729016
0.20190002396702766,4.934999975375831,5.136899999342859
0.2204999909736216,4.746700025862083,4.9672000168357044
0.15730000450275838,4.269400000339374,4.426700004842132
0.16429999959655106,6.262499984586611,6.4267999841831625
0.2437999937683344,4.205400007776916,4.44920000154525
0.07879998884163797,3.0984999903012067,3.1772999791428447
0.05930001498199999,3.3555999980308115,3.4149000130128115
0.07730000652372837,4.6218000061344355,4.699100012658164
0.10310002835467458,3.380099980859086,3.4832000092137605
0.086199986981228,3.0054000089876354,3.0915999959688634
0.0701999815646559,2.9440000071190298,3.0141999886836857
0.06980000762268901,4.820599977392703,4.890399985015392
0.40690001333132386,5.183899978874251,5.590799992205575
0.1126999850384891,3.5010999999940395,3.6137999850325286
0.08250001701526344,4.100599995581433,4.183100012596697
0.1094000181183219,4.88779999432154,4.997200012439862
0.1145999995060265,4.768399987369776,4.882999986875802
0.1100999943446368,3.4460999886505306,3.5561999829951674
0.745099998312071,3.7259999953676015,4.4710999936796725
0.19559997599571943,6.368800008203834,6.564399984199554
0.1829999964684248,4.742899996927008,4.925899993395433
0.11910000466741621,3.633500018622726,3.7526000232901424
0.10080001084133983,6.47610001033172,6.57690002117306
0.5277000018395483,4.800299997441471,5.327999999281019
0.17409998690709472,4.129800014197826,4.303900001104921
0.11370002175681293,7.508599985158071,7.622300006914884
0.6530999962706119,6.539299996802583,7.192399993073195
0.1954999752342701,5.672000028425828,5.867500003660098
1.745599991409108,5.456299986690283,7.201899978099391
0.25260000256821513,4.801700008101761,5.0543000106699765
0.3060000017285347,7.571199996164069,7.877199997892603
0.35600000410340726,5.160999979125336,5.516999983228743
0.22980000358074903,4.6289000019896775,4.858700005570427
0.3076000139117241,7.44359998498112,7.751199998892844
0.6441999867092818,4.891700024018064,5.535900010727346
0.3428000200074166,4.7895999741740525,5.132399994181469
0.6867999909445643,5.420400004368275,6.10719999531284
0.9756000072229654,6.195599999045953,7.1712000062689185
0.7474000158254057,8.327199990162626,9.074600005988032
0.7731000077910721,5.01230001100339,5.785400018794462
0.24809999740682542,7.343100005527958,7.591200002934784
0.9596000018063933,6.541499984450638,7.501099986257032
0.21619998733513057,5.615100002614781,5.831299989949912
0.7694000087212771,7.021500001428649,7.790900010149926
0.22419999004341662,5.174799996893853,5.39899998693727
0.208800018299371,7.687899982556701,7.896700000856072
0.33370000892318785,6.360599974868819,6.694299983792007
0.22059999173507094,5.330400017555803,5.551000009290874
0.33999999868683517,6.372700008796528,6.712700007483363
0.24449999909847975,5.1967000181321055,5.441200017230585
0.24830002803355455,6.938499980606139,7.186800008639693
0.2862999972421676,5.872700014151633,6.1590000113938
0.21739999647252262,5.897399998502806,6.1147999949753284
0.31090000993572176,8.164600003510714,8.475500013446435
0.3000000142492354,5.783700005849823,6.083700020099059
0.2457000082358718,7.3053000087384135,7.551000016974285
0.7288999913726002,6.251499988138676,6.980399979511276
0.22119999630376697,5.179100000532344,5.400299996836111
1.2389000039547682,9.496600017882884,10.735500021837652
0.5890000029467046,6.263499992201105,6.852499995147809
1.4476999931503087,8.82299998193048,10.270699975080788
2.611200005048886,10.785099992062896,13.396299997111782
0.3798999823629856,6.377000012435019,6.756899994798005
0.906000001123175,8.601600013207644,9.50760001433082
0.7609000022057444,6.909400020958856,7.6703000231646
0.3525000065565109,8.795600006124005,9.148100012680516
0.7941000221762806,6.057099992176518,6.8512000143527985
0.3679999790620059,7.68810001318343,8.056099992245436
0.5104000156279653,6.370199989760295,6.88060000538826
0.4200999974273145,7.191399985458702,7.611499982886016
1.6913999861571938,7.301000005099922,8.992399991257116
0.2990999782923609,9.441500005777925,9.740599984070286
0.4270999925211072,6.750800006557256,7.177899999078363
0.38400001358240843,9.699299989733845,10.083300003316253
0.9171999990940094,6.844299990916625,7.761499990010634
0.3972999984398484,8.379699982469901,8.77699998090975
0.759599992306903,6.454699992900714,7.214299985207617
0.41879998752847314,10.177500022109598,10.596300009638071
0.3656999906525016,8.156100026099011,8.521800016751513
0.4072000156156719,9.659599978476763,10.066799994092435
