path,module,size_bytes,sha256,imported_by_count,current_imported_by_count,test_file_count,proposed_action,proposed_target,rollback_path
code/scripts/diagnose_v11_rb_total_tree_identifiability.py,scripts.diagnose_v11_rb_total_tree_identifiability,12888,0befddb3aa34867f324926f8122fcdb108711165059a026939e1770a40926e7a,0,0,0,keep_in_place_logical_archive,,code/scripts/diagnose_v11_rb_total_tree_identifiability.py
code/scripts/diagnose_v11_rb_total_value_reconstruction.py,scripts.diagnose_v11_rb_total_value_reconstruction,54193,54e25df0161e6bb2384159c5006c718a9a6531623a3c744d2b6e86eeee8c484f,2,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_rb_total_value_reconstruction.py
code/scripts/diagnose_v11_repair_benefit_shortlist.py,scripts.diagnose_v11_repair_benefit_shortlist,27680,1bf55053cead84d30ae795c7e1b51c5b03b3443adaa9dcbf15fb9bc22535f81b,2,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_repair_benefit_shortlist.py
code/scripts/diagnose_v11_scheduler_pattern_generation.py,scripts.diagnose_v11_scheduler_pattern_generation,20003,8df202c2909c3d8c9f41548f0729968bdf19b8e0eaa90b569cdc7c9d60b31dc2,1,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_scheduler_pattern_generation.py
code/scripts/diagnose_v11_scheduler_ranked_allocation.py,scripts.diagnose_v11_scheduler_ranked_allocation,34309,6ddb39ca75c4208e5e0077057f6a2c8bde6cb3bb296d192f44a9d267b87bd980,10,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_scheduler_ranked_allocation.py
code/scripts/diagnose_v11_value_calibrator_drift.py,scripts.diagnose_v11_value_calibrator_drift,13400,8085967eb9e1d56c7dff8c5fea8cafb879cc2bf413d18f7d654130e5473b717f,1,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_value_calibrator_drift.py
code/scripts/diagnose_v11_value_gap_audit.py,scripts.diagnose_v11_value_gap_audit,11828,2aa315406d861c8f7aa8f00fd218451c49cf985c6255107d156c20bf4cb1c4b8,1,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_value_gap_audit.py
code/scripts/diagnose_v11_world_model_trust_phase2.py,scripts.diagnose_v11_world_model_trust_phase2,14146,f805e9449175df07081d143987d2322766f192b9a81a6722170ece8be606df5a,1,0,1,keep_in_place_logical_archive,,code/scripts/diagnose_v11_world_model_trust_phase2.py
code/scripts/evaluate_v10_policy_bridge.py,scripts.evaluate_v10_policy_bridge,87765,f808000aecff2ec079b1cfbf5a590c005ad89335bd71f8283b48267b3fd3b24e,15,0,2,keep_in_place_logical_archive,,code/scripts/evaluate_v10_policy_bridge.py
code/scripts/evaluate_v11_adaptive_bridge.py,scripts.evaluate_v11_adaptive_bridge,11071,f2e8cd1d50ad20ae4369f05236c85a1d4a45c54a1a100d80d0201675d4fec2b4,10,0,1,keep_in_place_logical_archive,,code/scripts/evaluate_v11_adaptive_bridge.py
code/scripts/evaluate_v11_frozen_selector.py,scripts.evaluate_v11_frozen_selector,21871,f137601d5ef7ea4f0597d43c198e64758e5253b048ca8ad88ca640e326ed28b2,2,0,1,keep_in_place_logical_archive,,code/scripts/evaluate_v11_frozen_selector.py
code/scripts/evaluate_v9_action_ablation.py,scripts.evaluate_v9_action_ablation,9241,e16f05eaa0487e0b063692c35021bc4755cf0b12872bd33619956d342e4ed5e4,14,0,1,keep_in_place_logical_archive,,code/scripts/evaluate_v9_action_ablation.py
