seed,time,task_id,task_node_id,current_node_id,assigned_to,rb_count,rb_indices
4,2.4,Task_1,UAV_1,UAV_1,UAV_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,3.7,Task_2,UAV_1,UAV_1,UAV_0,25,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
4,3.7,Task_3,UAV_1,UAV_1,UAV_0,25,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,4.5,Task_19,vehicle_3,vehicle_3,RSU_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,5.1,Task_20,vehicle_3,vehicle_3,RSU_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,5.3,Task_21,vehicle_3,vehicle_3,RSU_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,6.6,Task_17,vehicle_1,vehicle_1,UAV_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,6.8,Task_14,vehicle_0,vehicle_0,vehicle_5,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,7.0,Task_15,vehicle_0,vehicle_0,vehicle_5,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,7.4,Task_11,UAV_0,UAV_0,UAV_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,7.8,Task_22,vehicle_3,vehicle_3,RSU_0,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
4,8.2,Task_13,UAV_1,UAV_1,UAV_0,10,0 1 2 3 4 5 6 7 8 9
4,8.2,Task_23,vehicle_3,vehicle_3,RSU_0,10,10 11 12 13 14 15 16 17 18 19
4,8.2,Task_18,vehicle_1,vehicle_1,UAV_0,10,20 21 22 23 24 25 26 27 28 29
