seed,time,task_id,task_node_id,source_node_id,target_node_id,target_node_type,candidate_count,nearest_distance
3,3.7,Task_1,UAV_1,UAV_1,vehicle_1,vehicle,5,0.0
3,4.5,Task_10,vehicle_1,vehicle_1,UAV_1,uav,7,0.0
3,4.6,Task_8,UAV_1,UAV_1,vehicle_1,vehicle,5,0.0
3,5.1,Task_14,vehicle_2,vehicle_2,RSU_3,rsu,7,0.0
3,6.3,Task_11,vehicle_1,vehicle_1,UAV_1,uav,7,0.0
3,7.7,Task_12,vehicle_1,vehicle_1,UAV_1,uav,5,0.0
3,8.2,Task_9,UAV_1,UAV_1,vehicle_1,vehicle,5,0.0
3,8.2,Task_13,vehicle_1,vehicle_1,UAV_1,uav,5,0.0
3,8.2,Task_15,vehicle_2,vehicle_2,RSU_3,rsu,7,0.0
3,9.8,Task_19,vehicle_1,vehicle_1,UAV_1,uav,5,0.0
3,11.4,Task_17,UAV_1,UAV_1,RSU_3,rsu,5,0.0
3,11.5,Task_20,vehicle_1,vehicle_1,RSU_3,rsu,5,0.0
3,11.9,Task_22,vehicle_2,vehicle_2,RSU_3,rsu,5,0.0
3,12.0,Task_23,vehicle_2,vehicle_2,RSU_3,rsu,5,0.0
3,12.2,Task_18,UAV_1,UAV_1,RSU_3,rsu,5,0.0
3,12.2,Task_21,vehicle_1,vehicle_1,RSU_3,rsu,5,0.0
3,12.2,Task_24,vehicle_2,vehicle_2,RSU_3,rsu,5,0.0
3,12.5,Task_33,vehicle_2,vehicle_2,RSU_3,rsu,7,0.0
3,12.6,Task_31,vehicle_1,vehicle_1,RSU_3,rsu,9,0.0
3,12.6,Task_34,vehicle_2,vehicle_2,RSU_3,rsu,7,0.0
3,12.6,Task_47,vehicle_7,vehicle_7,UAV_0,uav,5,0.0
3,13.4,Task_35,vehicle_2,vehicle_2,RSU_3,rsu,9,0.0
3,14.1,Task_41,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,14.5,Task_42,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,14.8,Task_43,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,15.1,Task_29,UAV_1,UAV_1,RSU_3,rsu,6,0.0
3,15.1,Task_48,vehicle_7,vehicle_7,vehicle_9,vehicle,7,0.0
3,15.6,Task_44,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,16.0,Task_45,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,16.2,Task_30,UAV_1,UAV_1,RSU_3,rsu,6,0.0
3,16.2,Task_32,vehicle_1,vehicle_1,RSU_3,rsu,9,0.0
3,16.2,Task_36,vehicle_2,vehicle_2,RSU_3,rsu,5,0.0
3,16.2,Task_49,vehicle_7,vehicle_7,vehicle_11,vehicle,5,0.0
3,16.2,Task_46,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,16.3,Task_60,vehicle_10,vehicle_10,vehicle_8,vehicle,5,0.0
3,16.5,Task_54,vehicle_6,vehicle_6,RSU_1,rsu,5,0.0
3,16.8,Task_58,vehicle_9,vehicle_9,RSU_2,rsu,5,0.0
3,17.2,Task_61,vehicle_10,vehicle_10,vehicle_8,vehicle,6,0.0
3,17.3,Task_56,vehicle_7,vehicle_7,vehicle_11,vehicle,5,0.0
3,18.1,Task_59,vehicle_9,vehicle_9,RSU_2,rsu,5,0.0
3,18.1,Task_57,vehicle_8,vehicle_8,vehicle_10,vehicle,6,0.0
3,18.3,Task_62,vehicle_11,vehicle_11,vehicle_7,vehicle,5,0.0
3,18.3,Task_63,vehicle_11,vehicle_11,vehicle_7,vehicle,5,0.0
3,18.5,Task_50,vehicle_1,vehicle_1,vehicle_13,vehicle,5,0.0
3,19.1,Task_55,vehicle_6,vehicle_6,RSU_1,rsu,6,0.0
3,19.4,Task_51,vehicle_2,vehicle_2,RSU_3,rsu,5,0.0
