seed,time,uav_id,current_x,current_y,current_z,target_source,target_x,target_y,target_z,angle,phi,speed
3,0.1,UAV_0,190.3717016735131,435.38338023676147,136.99551665480791,random,0.0,0.0,0.0,6.132360098356471,0.0,25.54469362855426
3,0.1,UAV_1,483.1360308769556,500.57624328644323,106.55288592398131,random,0.0,0.0,0.0,4.224711233282791,0.0,13.187998795245623
3,0.2,UAV_0,192.89717122782426,434.9995609355085,136.99551665480791,random,0.0,0.0,0.0,5.375515535888318,0.0,18.723237332548585
3,0.2,UAV_1,482.51807340447755,499.41118462506927,106.55288592398131,random,0.0,0.0,0.0,1.822277949579176,0.0,22.532965817336077
3,0.3,UAV_0,194.0497433972221,433.52403609449806,136.99551665480791,random,0.0,0.0,0.0,2.1697542325870702,0.0,16.02052396851011
3,0.3,UAV_1,481.95736477328126,501.59360330995867,106.55288592398131,random,0.0,0.0,0.0,6.088118391991519,0.0,20.14485967658119
3,0.4,UAV_0,193.14653494944136,434.8472089411487,136.99551665480791,random,0.0,0.0,0.0,5.2734838220746685,0.0,29.819792897376303
3,0.4,UAV_1,483.9336454130958,501.2031311002103,106.55288592398131,random,0.0,0.0,0.0,1.0883758829941335,0.0,23.425470843250366
3,0.5,UAV_0,194.73328635519619,432.3224474750377,136.99551665480791,random,0.0,0.0,0.0,1.3384831682874043,0.0,22.65951809758066
3,0.5,UAV_1,485.0204109651192,503.27833409683865,106.55288592398131,random,0.0,0.0,0.0,0.5465452090341543,0.0,29.761440690388135
3,0.6,UAV_0,195.25497452860063,434.52752775790174,136.99551665480791,random,0.0,0.0,0.0,5.50413643314065,0.0,15.341698122763255
3,0.6,UAV_1,487.5630058596927,504.8251517078593,106.55288592398131,nearest_mission,765.9976577228282,34.23122347156795,100.0,-1.0365269505876848,-0.011983604852054493,12.48869673363277
3,0.7,UAV_0,196.34666234168188,433.44961554827154,136.99551665480791,random,0.0,0.0,0.0,1.8839338827106766,0.0,27.455340492564027
3,0.7,UAV_1,488.198900084637,503.75040056156007,106.53792032150369,nearest_mission,765.9976577228282,34.23122347156795,100.0,-1.0365269505876846,-0.011983604852054502,10.883801222590868
3,0.8,UAV_0,195.5009139490249,436.0616390688288,136.99551665480791,random,0.0,0.0,0.0,3.0631435020975024,0.0,22.290650570636174
3,0.8,UAV_1,488.7530769127322,502.81376336958067,106.52487791635792,nearest_mission,765.9976577228282,34.23122347156795,100.0,-1.0365269505876846,-0.011983604852054516,10.898804869920724
3,0.9,UAV_0,193.27870450833868,436.2363280219629,136.99551665480791,random,0.0,0.0,0.0,4.264856066238308,0.0,24.368809548970326
3,0.9,UAV_1,489.3080176902525,501.87583499506155,106.51181753186438,nearest_mission,765.9976577228282,34.23122347156795,100.0,-1.0365269505876846,-0.0119836048520545,16.61908292038015
