seed,time,task_id,task_node_id,current_node_id,assigned_to,rb_count,rb_indices
3,16.2,Task_30,UAV_1,UAV_1,RSU_3,10,0 1 2 3 4 5 6 7 8 9
3,16.2,Task_32,vehicle_1,vehicle_1,RSU_3,10,10 11 12 13 14 15 16 17 18 19
3,16.2,Task_36,vehicle_2,vehicle_2,RSU_3,10,20 21 22 23 24 25 26 27 28 29
3,16.2,Task_49,vehicle_7,vehicle_7,vehicle_11,10,30 31 32 33 34 35 36 37 38 39
3,16.2,Task_46,vehicle_6,vehicle_6,RSU_1,10,40 41 42 43 44 45 46 47 48 49
3,16.3,Task_60,vehicle_10,vehicle_10,vehicle_8,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.5,Task_54,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.8,Task_58,vehicle_9,vehicle_9,RSU_2,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,17.2,Task_61,vehicle_10,vehicle_10,vehicle_8,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,17.3,Task_56,vehicle_7,vehicle_7,vehicle_11,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,18.1,Task_59,vehicle_9,vehicle_9,RSU_2,25,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
3,18.1,Task_57,vehicle_8,vehicle_8,vehicle_10,25,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,18.3,Task_62,vehicle_11,vehicle_11,vehicle_7,25,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
3,18.3,Task_63,vehicle_11,vehicle_11,vehicle_7,25,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,18.5,Task_50,vehicle_1,vehicle_1,vehicle_13,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,19.1,Task_55,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,19.4,Task_51,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
