seed,time,task_id,task_node_id,assigned_to,assigned_node_type,allocated_cpu,num_tasks_on_node
3,3.7,Task_1,UAV_1,vehicle_1,vehicle,2.0,1
3,3.8,Task_1,UAV_1,vehicle_1,vehicle,2.0,1
3,3.9,Task_1,UAV_1,vehicle_1,vehicle,2.0,1
3,4.5,Task_10,vehicle_1,UAV_1,uav,3.0,1
3,4.6,Task_8,UAV_1,vehicle_1,vehicle,3.0,1
3,4.6,Task_10,vehicle_1,UAV_1,uav,3.0,1
3,4.7,Task_10,vehicle_1,UAV_1,uav,3.0,1
3,5.1,Task_14,vehicle_2,RSU_3,rsu,10.0,1
3,6.3,Task_11,vehicle_1,UAV_1,uav,3.0,1
3,6.4,Task_11,vehicle_1,UAV_1,uav,3.0,1
3,6.5,Task_11,vehicle_1,UAV_1,uav,3.0,1
3,7.7,Task_12,vehicle_1,UAV_1,uav,3.0,1
3,7.8,Task_12,vehicle_1,UAV_1,uav,3.0,1
3,8.2,Task_9,UAV_1,vehicle_1,vehicle,10.0,1
3,8.2,Task_13,vehicle_1,UAV_1,uav,10.0,1
3,8.2,Task_15,vehicle_2,RSU_3,rsu,10.0,1
3,9.8,Task_19,vehicle_1,UAV_1,uav,3.0,1
3,9.9,Task_19,vehicle_1,UAV_1,uav,3.0,1
3,11.4,Task_17,UAV_1,RSU_3,rsu,10.0,1
3,11.5,Task_20,vehicle_1,RSU_3,rsu,10.0,1
3,11.9,Task_22,vehicle_2,RSU_3,rsu,10.0,1
3,12.0,Task_23,vehicle_2,RSU_3,rsu,10.0,1
3,12.2,Task_18,UAV_1,RSU_3,rsu,3.3333333333333335,3
3,12.2,Task_21,vehicle_1,RSU_3,rsu,3.3333333333333335,3
3,12.2,Task_24,vehicle_2,RSU_3,rsu,3.3333333333333335,3
3,12.3,Task_21,vehicle_1,RSU_3,rsu,5.0,2
3,12.3,Task_24,vehicle_2,RSU_3,rsu,5.0,2
3,12.5,Task_33,vehicle_2,RSU_3,rsu,10.0,1
3,12.6,Task_31,vehicle_1,RSU_3,rsu,1.5,2
3,12.6,Task_34,vehicle_2,RSU_3,rsu,1.5,2
3,12.6,Task_47,vehicle_7,UAV_0,uav,3.0,1
3,12.7,Task_31,vehicle_1,RSU_3,rsu,1.5,2
3,12.7,Task_34,vehicle_2,RSU_3,rsu,1.5,2
3,12.7,Task_47,vehicle_7,UAV_0,uav,3.0,1
3,12.8,Task_31,vehicle_1,RSU_3,rsu,5.0,2
3,12.8,Task_34,vehicle_2,RSU_3,rsu,5.0,2
3,13.4,Task_35,vehicle_2,RSU_3,rsu,10.0,1
3,13.9,Task_3,UAV_1,UAV_1,uav,3.0,1
3,14.1,Task_41,vehicle_6,RSU_1,rsu,10.0,1
3,14.5,Task_42,vehicle_6,RSU_1,rsu,10.0,1
3,14.8,Task_43,vehicle_6,RSU_1,rsu,10.0,1
3,15.1,Task_29,UAV_1,RSU_3,rsu,2.0,1
3,15.1,Task_48,vehicle_7,vehicle_9,vehicle,2.0,1
3,15.2,Task_29,UAV_1,RSU_3,rsu,2.0,1
3,15.2,Task_48,vehicle_7,vehicle_9,vehicle,2.0,1
3,15.3,Task_29,UAV_1,RSU_3,rsu,10.0,1
3,15.6,Task_44,vehicle_6,RSU_1,rsu,10.0,1
3,16.0,Task_45,vehicle_6,RSU_1,rsu,10.0,1
3,16.2,Task_30,UAV_1,RSU_3,rsu,0.6666666666666666,3
3,16.2,Task_32,vehicle_1,RSU_3,rsu,0.6666666666666666,3
3,16.2,Task_36,vehicle_2,RSU_3,rsu,0.6666666666666666,3
3,16.2,Task_46,vehicle_6,RSU_1,rsu,2.0,1
3,16.2,Task_49,vehicle_7,vehicle_11,vehicle,2.0,1
3,16.3,Task_30,UAV_1,RSU_3,rsu,0.6666666666666666,3
3,16.3,Task_32,vehicle_1,RSU_3,rsu,0.6666666666666666,3
3,16.3,Task_36,vehicle_2,RSU_3,rsu,0.6666666666666666,3
3,16.3,Task_46,vehicle_6,RSU_1,rsu,2.0,1
3,16.3,Task_49,vehicle_7,vehicle_11,vehicle,2.0,1
3,16.3,Task_60,vehicle_10,vehicle_8,vehicle,2.0,1
3,16.4,Task_30,UAV_1,RSU_3,rsu,0.6666666666666666,3
3,16.4,Task_32,vehicle_1,RSU_3,rsu,0.6666666666666666,3
3,16.4,Task_36,vehicle_2,RSU_3,rsu,0.6666666666666666,3
3,16.4,Task_49,vehicle_7,vehicle_11,vehicle,2.0,1
3,16.4,Task_60,vehicle_10,vehicle_8,vehicle,2.0,1
3,16.5,Task_30,UAV_1,RSU_3,rsu,0.6666666666666666,3
3,16.5,Task_32,vehicle_1,RSU_3,rsu,0.6666666666666666,3
3,16.5,Task_36,vehicle_2,RSU_3,rsu,0.6666666666666666,3
3,16.5,Task_54,vehicle_6,RSU_1,rsu,2.0,1
3,16.5,Task_60,vehicle_10,vehicle_8,vehicle,2.0,1
3,16.6,Task_30,UAV_1,RSU_3,rsu,5.0,2
3,16.6,Task_32,vehicle_1,RSU_3,rsu,5.0,2
3,16.6,Task_54,vehicle_6,RSU_1,rsu,10.0,1
3,16.8,Task_58,vehicle_9,RSU_2,rsu,10.0,1
3,17.2,Task_61,vehicle_10,vehicle_8,vehicle,2.0,1
3,17.3,Task_5,UAV_0,UAV_0,uav,2.0,1
3,17.3,Task_56,vehicle_7,vehicle_11,vehicle,2.0,1
3,17.3,Task_61,vehicle_10,vehicle_8,vehicle,2.0,1
3,17.4,Task_56,vehicle_7,vehicle_11,vehicle,2.0,1
3,17.5,Task_56,vehicle_7,vehicle_11,vehicle,2.0,1
3,18.1,Task_59,vehicle_9,RSU_2,rsu,2.0,1
3,18.1,Task_57,vehicle_8,vehicle_10,vehicle,2.0,1
3,18.2,Task_59,vehicle_9,RSU_2,rsu,2.0,1
3,18.2,Task_57,vehicle_8,vehicle_10,vehicle,2.0,1
3,18.3,Task_57,vehicle_8,vehicle_10,vehicle,2.0,1
3,18.3,Task_62,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.3,Task_63,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.4,Task_62,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.4,Task_63,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.5,Task_62,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.5,Task_63,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.5,Task_50,vehicle_1,vehicle_13,vehicle,2.0,1
3,18.6,Task_62,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.6,Task_63,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.6,Task_50,vehicle_1,vehicle_13,vehicle,2.0,1
3,18.7,Task_62,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.7,Task_63,vehicle_11,vehicle_7,vehicle,1.0,2
3,18.7,Task_50,vehicle_1,vehicle_13,vehicle,2.0,1
3,18.8,Task_63,vehicle_11,vehicle_7,vehicle,2.0,1
3,19.1,Task_55,vehicle_6,RSU_1,rsu,10.0,1
3,19.4,Task_51,vehicle_2,RSU_3,rsu,10.0,1
