tx_id,rx_id,link_type,edge_index
vehicle_26,UAV_1,V2U,167
vehicle_27,UAV_0,V2U,168
vehicle_27,UAV_1,V2U,169
vehicle_28,UAV_0,V2U,170
vehicle_28,UAV_1,V2U,171
vehicle_29,UAV_0,V2U,172
vehicle_29,UAV_1,V2U,173
vehicle_3,UAV_0,V2U,174
vehicle_3,UAV_1,V2U,175
vehicle_4,UAV_0,V2U,176
vehicle_4,UAV_1,V2U,177
vehicle_5,UAV_0,V2U,178
vehicle_5,UAV_1,V2U,179
vehicle_6,UAV_0,V2U,180
vehicle_6,UAV_1,V2U,181
vehicle_7,UAV_0,V2U,182
vehicle_7,UAV_1,V2U,183
vehicle_8,UAV_0,V2U,184
vehicle_8,UAV_1,V2U,185
vehicle_9,UAV_0,V2U,186
vehicle_9,UAV_1,V2U,187
